2025-02-01 21:12:11,375 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2025-02-01 21:12:11,376 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_setup.py:_flush():79] Configure stats pid to 38184
2025-02-01 21:12:11,376 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_setup.py:_flush():79] Loading settings from /Users/krithman/.config/wandb/settings
2025-02-01 21:12:11,376 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_setup.py:_flush():79] Loading settings from /Users/krithman/Documents/PhD/Federated_Learning/wandb/settings
2025-02-01 21:12:11,376 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-02-01 21:12:11,376 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2025-02-01 21:12:11,376 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2025-02-01 21:12:11,376 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-02-01 21:12:11,376 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_init.py:_log_setup():533] Logging user logs to /Users/krithman/Documents/PhD/Federated_Learning/wandb/run-20250201_211211-bvq49ysj/logs/debug.log
2025-02-01 21:12:11,376 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_init.py:_log_setup():534] Logging internal logs to /Users/krithman/Documents/PhD/Federated_Learning/wandb/run-20250201_211211-bvq49ysj/logs/debug-internal.log
2025-02-01 21:12:11,376 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_init.py:init():619] calling init triggers
2025-02-01 21:12:11,376 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2025-02-01 21:12:11,376 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_init.py:init():669] starting backend
2025-02-01 21:12:11,376 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_init.py:init():673] sending inform_init request
2025-02-01 21:12:11,378 INFO    Thread-1 (server_th_with_start_checks):38184 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-02-01 21:12:11,378 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_init.py:init():686] backend started and connected
2025-02-01 21:12:11,385 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_init.py:init():781] updated telemetry
2025-02-01 21:12:11,439 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2025-02-01 21:12:11,840 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_init.py:init():867] starting run threads in backend
2025-02-01 21:12:11,895 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_run.py:_console_start():2456] atexit reg
2025-02-01 21:12:11,895 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2025-02-01 21:12:11,895 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-02-01 21:12:11,896 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_run.py:_redirect():2395] Redirects installed.
2025-02-01 21:12:11,897 INFO    Thread-1 (server_th_with_start_checks):38184 [wandb_init.py:init():911] run started, returning control to user process
2025-02-01 21:18:01,975 WARNING MsgRouterThr:38184 [router.py:message_loop():75] message_loop has been closed
